Self_Regulation_Technique_Name,Time_Required (min),Self_Regulation_Category,Description,Instructions,
The 'Right Time' Inventory,45935,Productivity/Self-Understanding,Identifying and noting down the specific times of day or conditions under which you are most productive or focused for different types of tasks.,"Keep a log: ""When am I best at creative writing? (late night). When am I best at admin? (morning)."" Schedule tasks accordingly.",
Sensory Play (Adult Version),5-30,Sensory Regulation/Stress Relief,"Engaging in activities that provide specific enjoyable sensory input, often reminiscent of childhood play.","Examples: playing with kinetic sand, water beads, slime, building with LEGOs, or simply handling interesting textures.",
Hyper-organization (for specific areas),45778,Executive Function/Clarity,"Creating intensely organized, designated spots for frequently lost or vital items.","Have a specific, unchangeable ""landing spot"" for keys, wallet, phone, and glasses right inside the door or on your desk.",
Scheduled 'Downtime',15-60,Energy Management/Burnout Prev.,"Proactively blocking out empty, unstructured time in your schedule for rest and recovery, even if it feels unproductive.","Treat ""downtime"" or ""nothing time"" as a scheduled appointment in your calendar that you cannot cancel.",
The 'Mental Filter' for Input,Variable,Cognitive Management,"Consciously choosing what information to process or engage with, to prevent mental overwhelm.","When faced with too much information (e.g., a noisy room, too many articles), deliberately narrow your focus to one piece of input at a time.",
Specific Purpose Outfits,1,Routine/Sensory Comfort,"Having certain clothing items or ""uniforms"" for specific activities to reduce decision fatigue and provide sensory predictability.","Designate ""work clothes,"" ""relaxing clothes,"" ""exercise clothes"" that are comfortable and require no thought, reducing morning decision load.",
The 'Mini-Break' Rule (True Break),5,Productivity/Focus,Ensuring short breaks are genuinely restful and not filled with other demanding activities.,"During a 5-minute break, avoid checking email or social media. Instead, look out a window, stretch, or grab water.",
Auditory Processing Accommodations,Variable,Communication/Sensory,"Actively seeking or creating conditions that improve auditory comprehension (e.g., closed captions, asking for repetition).","Use closed captions on all media. Don't hesitate to ask people to repeat themselves, speak slower, or rephrase when you're struggling to process.",
The 'Reset' Food/Drink,45778,Sensory Regulation/Emotional,"Having a go-to food or drink with specific sensory properties (e.g., temperature, flavor) that helps regulate or ground you.","Keep items like cold, fizzy water; a specific sour candy; or a warm, comforting herbal tea on hand for immediate sensory input when feeling dysregulated.",
Task Chaining (Sensory-Linked),Variable,Productivity/Motivation,Linking a less preferred task to a highly preferred sensory input or interest.,"Only allow yourself to listen to your favorite podcast while doing the dishes, or only watch your comfort show while folding laundry.",
The 'I-Spy' Grounding Game,45779,Mindfulness/Grounding,"A simple visual grounding exercise to bring focus to the present moment, especially when feeling anxious or overwhelmed.","Name 5 things you can see, then 4 things of a specific color, then 3 things with a certain shape, continuing to narrow your focus.",
Pre-emptive Social Scripting,45779,Social Communication/Anxiety,Mentally rehearsing or having pre-written phrases for common social scenarios to reduce anxiety and communication difficulty.,"Before a phone call or meeting, think of common questions and practice brief, clear answers. Have an ""escape phrase"" ready for difficult conversations.",
The 'Energy Budget' Visual,45935,Energy Management/Planning,"Using a visual representation (e.g., a bar graph, pie chart) to plan and track your limited daily energy expenditure.","Draw a daily ""energy pie chart"" or ""battery bar"" and allocate percentages to different activities to visualize where your energy is going.",
Deep Pressure Hugs (Self or Other),45689,Sensory Regulation/Calming,"Seeking or performing firm, sustained pressure (e.g., a tight hug, squeezing yourself) for calming sensory input.","If comfortable, ask a trusted person for a firm, sustained hug, or wrap your arms tightly around yourself and squeeze when feeling overwhelmed.",
The 'Brain Dump' for Projects,10-15,Cognitive Management/Overwhelm,"A specific type of brain dump where you write down every single idea related to a project, no matter how small or chaotic.","For a new project, dedicate 10-15 minutes to writing down every thought, task, idea, concern, or step that comes to mind, without censoring.",
Auditory Boundaries (Music/Noise),Variable,Sensory Regulation/Focus,"Using specific types of music or noise to create a personal auditory ""bubble"" that blocks out distractions.","Create playlists for different moods or tasks. Use classical music, instrumental scores, or specific genres that help you focus or relax without being distracting.",
The 'Task Paralysis' Toolkit,45779,Task Initiation/Motivation,"Having a pre-planned set of very simple, immediate actions to break through task paralysis.","When stuck, try: 1. ""The 1-minute rule."" 2. ""Body doubling."" 3. ""Play one song and then try."" 4. ""Just open the document.""",
"The ""No Zero Days"" Rule",45778,Motivation/Productivity,"A commitment to doing at least one small, productive thing each day, no matter how minor, to build momentum and combat stagnation.","Even if you're feeling overwhelmed, aim to do one tiny task (e.g., send one email, wash one dish, spend 5 minutes on a project) to keep moving forward.",
Sensory Swaps,Variable,Sensory Regulation,Replacing a disruptive or uncomfortable sensory input with a more tolerable or preferred one.,"If a scratchy tag is bothering you, change your shirt. If loud noises are overwhelming, put on noise-canceling headphones or play calming music.",
Context Switching Reduction,Variable,Focus/Productivity,Minimizing the number of times you switch between different tasks or mental contexts in a short period.,"Dedicate blocks of time to similar tasks (e.g., all emails at once, then all creative work) to avoid the mental cost of constantly refocusing.",
The 'Done Is Better Than Perfect' Mantra,1,Self-Compassion/Productivity,Reminding yourself that completing a task adequately is often more valuable than striving for unattainable perfection.,"When perfectionism leads to procrastination, repeat ""Done is better than perfect"" to encourage completion over endless refinement.",
Visual Countdown/Progress Bars,45689,Motivation/Task Completion,"Using visual aids to show how much of a task is left, helping to maintain motivation for longer activities.","For long tasks (e.g., studying), draw a progress bar or divide the work into visual segments to see your progress as you go.",
The 'Looping Thought' Release,45717,Cognitive Management,"A technique to interrupt repetitive, unhelpful thought loops by consciously acknowledging and then releasing them.","When a thought loop starts, acknowledge it (""There's that thought again""). Then, visualize it floating away like a cloud or a leaf on a stream.",
Comfort Object Integration,Variable,Emotional Regulation/Transition,Incorporating a personally comforting object into daily routines or challenging situations.,"Bring a favorite soft scarf to meetings, keep a familiar mug at your desk, or carry a small, smooth stone in your pocket for tactile comfort.",
The 'Five Whys' for Meltdowns/Shutdowns,45935,Self-Understanding/Emotional Reg.,"Asking ""why"" repeatedly after a meltdown or shutdown to trace back and identify the underlying triggers.","After recovering, reflect: ""Why did I get overwhelmed? (e.g., too much noise). Why was the noise too much? (e.g., already tired)."" Keep going until you hit a core cause.",
Pre-Prepared Snacks/Meals,Variable,Energy Management/Executive Function,"Having easy-to-grab, acceptable snacks or simple meals ready to reduce decision fatigue and ensure consistent fueling.","Prep grab-and-go snacks, make large batches of simple meals, or keep a stash of preferred frozen meals for low-energy days.",
Soundscape Customization,Variable,Sensory Regulation/Environment,"Curating specific auditory environments to suit different tasks or moods, beyond just noise masking.","Create playlists or use apps with sounds specifically for focus (e.g., library sounds), relaxation (e.g., gentle rain), or energy (e.g., upbeat instrumental).",
The 'Done List',45779,Motivation/Self-Compassion,"Instead of just a to-do list, keeping a list of everything you have accomplished to boost morale and acknowledge effort.","At the end of the day, or when feeling unaccomplished, write down all the tasks, big or small, that you actually completed.",
Physical Task Cues,1,Executive Function/Memory,Using the physical placement of objects as a direct reminder or trigger for a task.,"Put your medications next to the kettle if you take them with morning tea, or leave your gym bag by the door to prompt your workout.",
Sensory-Seeking Movement,45932,Energy Management/Regulation,"Actively engaging in movements that provide desired sensory input, helping to regulate energy or focus.","If under-stimulated, try bouncing on a yoga ball, swinging in a hammock, or doing a few spins or jumps (if safe and appropriate).",
The 'Hard Stop' Rule,1,Productivity/Burnout Prevention,Committing to a strict end time for work or demanding activities to prevent overextension and ensure rest.,"Set a non-negotiable end time for your workday or a challenging task, and stick to it, even if things aren't ""perfectly"" finished.",
Social Recharge Plan,5-30,Social Energy Management,Having a predefined strategy for how and when you will recharge after social interactions.,"After a social event, know if you need immediate quiet time, a comforting routine, or sensory input (e.g., a warm bath, noise-canceling headphones).",
"Pre-Decision Making (Outfits, Meals)",10-20,Executive Function/Decision Fatigue,"Making small, repetitive decisions in advance (e.g., planning outfits for the week) to reduce daily mental load.","On a Sunday, plan and perhaps even lay out your outfits for the entire week to eliminate daily decision fatigue.",
The 'Sensory Shower/Bath',5-20,Sensory Regulation/Calming,Using the shower or bath as a dedicated space for sensory regulation and intense calming.,"Focus on the sensory experience: the warmth of the water, the scent of soap, the sound of the spray. Use it as a mini-reset.",
Comfort Colors/Lighting,Variable,Environmental Accommodation,Deliberately choosing specific colors or lighting in your environment that are visually calming or stimulating as needed.,"Use warm, soft lighting in your relaxation spaces. Opt for cooler, brighter lights in work areas if that aids focus. Incorporate colors you find visually soothing.",
The 'If-Then' Planning,45935,Executive Function/Proactive,Creating specific contingency plans for common challenges or potential pitfalls in your day or tasks.,"IF I get distracted by my phone, THEN I will put it in the other room. ""IF I forget my keys, THEN I will check my 'key hook' immediately.""",
Special Interest Deep Dive (Planned),30-120,Emotional Regulation/Recharge,Deliberately scheduling time to immerse yourself fully in a special interest as a powerful form of self-regulation and joy.,"Block out dedicated, uninterrupted time in your schedule to engage deeply with a special interest, allowing for intense focus and positive emotional recharge.",
"The ""Clean Enough"" Standard",Variable,Self-Compassion/Productivity,"Adjusting personal standards for cleanliness or organization to a realistic, sustainable level, rather than striving for perfection.","Instead of aiming for sparkling clean, focus on ""tidy enough to function."" Prioritize safety and basic hygiene over immaculate perfection.",
Sensory Filtering Tools,Variable,Sensory Regulation/Environment,Using specific tools or strategies to actively filter out unwanted sensory input from your environment.,"Wear sunglasses indoors if bright lights bother you, use earplugs or noise-canceling earbuds in noisy places, or wear a hat to reduce visual stimulation.",
The 'Accountability Buddy' (Low Stakes),45778,Motivation/Productivity,"Partnering with someone for mutual support on tasks, where the consequence for not doing it is simply checking in, not failure.","Find a friend to simply check in with daily about your goals. The goal isn't punishment for not completing, but gentle encouragement and shared effort.",
Task Migration,Variable,Executive Function/Flexibility,"Moving tasks to a different time, place, or method when the original approach isn't working, without guilt.","If you can't focus on writing at your desk, try dictating into your phone while walking, or move to a coffee shop if that helps your focus.",
Comfort Reading/Listening,Variable,Decompression/Emotional Regulation,"Engaging with familiar, low-stress books, audiobooks, or podcasts purely for comfort and relaxation, not for learning or productivity.","Re-read a favorite book, listen to a familiar audiobook you know by heart, or put on a podcast that is soothing rather than stimulating.",
The 'Buffer Time' Rule,Variable,Time Management/Transitions,"Adding extra, unplanned time between scheduled activities to allow for unexpected delays or necessary decompression.","If one meeting ends at 11:00 AM and the next starts at 11:30 AM, mentally schedule the second at 11:45 AM to give yourself a buffer.",
Object Permanence Reminders,1,Memory/Executive Function,"Using physical objects or visual reminders to compensate for challenges with object permanence (out of sight, out of mind).","Leave frequently used items (e.g., wallet, keys) in visible, designated spots rather than tucked away in drawers. Use clear containers for storage.",
Planned Escapes (Social),45779,Social Energy Management/Boundaries,Having a pre-determined exit strategy for social situations when you anticipate or experience overwhelm.,"Before a party, decide you'll stay for a specific amount of time, or identify a quiet spot you can retreat to, or have an excuse ready to leave.",
The 'Sensory Safe' Outfit,1,Sensory Comfort/Routine,"Identifying and regularly wearing a specific outfit or type of clothing that provides consistent, comfortable sensory input.","Have one or more ""go-to"" outfits that always feel right (e.g., specific fabric, loose fit, no tags) to reduce daily sensory overwhelm from clothing.",
Hyperfocus 'Scheduling',Variable,Productivity/Leveraging Strengths,"Deliberately blocking out time for activities that often trigger hyperfocus, turning it into a productive asset.","If you know you can hyperfocus on coding or a creative project, schedule dedicated, uninterrupted blocks for it, rather than trying to force other tasks during that time.",
The 'Minimal Prep' Meal Strategy,Variable,Energy Management/Executive Function,"Stocking up on and relying heavily on meals that require minimal cooking, dishes, or mental effort.","Keep a supply of microwaveable meals, pre-cut vegetables, or ingredients for very simple one-pan dishes for days when executive function is low.",
Weighted Compression Vests/Clothing,Variable,Sensory Regulation/Calming,"Wearing specialized clothing that provides consistent, gentle pressure across the torso for calming and grounding.","Explore sensory compression vests or fitted athletic wear that offers comforting deep pressure, often worn discreetly under regular clothes.",
Special Interest as De-stressor,30-120,Emotional Regulation/Recharge,"Using a special interest as a primary, intentional method for de-stressing and emotional regulation after a difficult day.","Immediately after a stressful event, dedicate time to engaging deeply with your special interest (e.g., researching a topic, working on a collection, deep-diving into a game).",
The 'Walk Away' Technique,45778,Overwhelm Reduction/Emotional Reg.,Physically removing yourself from an overwhelming situation to prevent escalation of sensory overload or emotional dysregulation.,"If a place becomes too noisy or a conversation too intense, physically leave the area for a few minutes to regain composure.",
Body Scan (Sensory Focus),10-20,Mindfulness/Sensory Awareness,A variation of body scan focusing specifically on identifying and understanding different sensory inputs throughout the body.,"Lie down and systematically bring awareness to each part of your body, noticing not just tension, but how different textures, temperatures, or pressure feel.",
The 'One Item at a Time' Cleanup,Variable,Overwhelm Reduction/Task Initiation,"When a space is overwhelming, commit to only putting away or dealing with one single item at a time.","Instead of looking at a messy room, just pick up one piece of trash, or put one item back in its place, then repeat.",
Visual Schedule/Picture Calendar,45935,Executive Function/Routine,Using a calendar with pictures or simplified visual representations for daily activities and routines.,"Create a daily or weekly schedule using drawings, symbols, or photos for each activity, especially helpful for managing transitions.",
Task 'Chunking' by Location,Variable,Productivity/Executive Function,Grouping tasks by physical location to reduce context switching and unnecessary movement.,"Instead of doing one kitchen chore, then a bedroom chore, then back to the kitchen, tackle all kitchen chores at once before moving to another room.",
The 'Sensory Reset' Station,Variable,Sensory Regulation/Proactive,"Creating a small, dedicated spot within your home with specific tools for quick sensory recalibration.","This might include a comfortable pillow, a favorite fidget toy, a small bottle of a calming essential oil, and a pair of earplugs.",
The 'Brain to Page' Dump (Structured),45935,Cognitive Management/Planning,"A more structured brain dump where ideas are quickly categorized or bulleted as they come out, for easier processing later.","Use a notebook with pre-drawn sections (e.g., ""To Do,"" ""Thoughts,"" ""Ideas,"" ""Worries"") to quickly sort information as you dump it from your mind.",
"The ""Weighted Eye Mask""",5-30,Sensory Regulation/Sleep Aid,"Using a weighted eye mask to provide gentle pressure on the eyes, aiding in relaxation, reducing light sensitivity, and promoting sleep.","Place a weighted eye mask over your eyes when resting, meditating, or trying to fall asleep to experience calming deep pressure.",
Task Pairing (Dreaded + Enjoyed),Variable,Motivation/Productivity,Pairing a highly disliked or difficult task with a genuinely enjoyable or stimulating activity.,"Only allow yourself to listen to your favorite podcast while doing the dishes, or only watch a specific show while folding laundry.",
Pre-emptive Problem Solving,45935,Executive Function/Anxiety,Anticipating potential difficulties or triggers in advance and creating a plan to address them before they occur.,"Before a new social event, mentally rehearse possible scenarios and how you'll respond, or identify potential sensory triggers and how you'll mitigate them.",
The 'Mental Vacation' Mini-Break,45689,Decompression/Cognitive Mgmt,"Briefly mentally transporting yourself to a pleasant, imaginary place to de-stress and clear your mind.","Close your eyes for 1-2 minutes and vividly imagine yourself in a favorite peaceful place (e.g., a quiet beach, a cozy cabin).",
Sensory-Specific Hydration,Variable,Sensory Regulation/Well-being,"Using specific temperatures or textures of drinks for regulation (e.g., very cold water, warm tea, fizzy drinks).","Keep ice-cold water readily available for alertness, or a comforting warm beverage for relaxation, depending on your sensory need.",
Visual Reminder Alarms,1,Executive Function/Memory,"Setting alarms on your phone with specific, descriptive labels or images to prompt tasks, not just times.","Set an alarm that says ""Pack Lunch"" or ""Take Meds"" rather than just a time, to provide immediate context for the action.",
The 'Micro-Declutter' Strategy,45935,Overwhelm Reduction/Environment,"Focusing on tidying only one very small, specific area at a time (e.g., one shelf, one drawer) when feeling overwhelmed by mess.","Instead of ""clean the room,"" choose ""clear off this one corner of the desk"" or ""organize this one section of the bookshelf.""",
Low-Demand Social Scripts,Variable,Social Communication/Energy Mgmt,"Having pre-prepared, low-energy ways to engage socially without extensive conversation or masking.","For group gatherings, identify easy conversation topics (e.g., the food, a recent movie). Have simple questions ready (""How's your week been?"").",
The 'Sensory Scavenger Hunt',45779,Grounding/Mindfulness,Deliberately seeking out specific sensory inputs in your immediate environment to ground yourself.,"When feeling overwhelmed, actively look for ""something red,"" ""something soft,"" ""something that smells good,"" etc., to bring your focus to the present.",
Routine Customization,Variable,Routine Management/Flexibility,"Adjusting existing routines to better fit your natural energy fluctuations and preferences, rather than forcing a rigid schedule.","If you're a night owl, shift non-essential morning tasks to the evening. If you dread a specific step, find a way to make it more palatable or delegate.",
Interest-Based Productivity Tools,Variable,Productivity/Motivation,"Using apps, planners, or systems that are designed around your specific interests or aesthetics to make productivity more engaging.","Find a task management app with a theme you love, or a physical planner with designs that genuinely excite you, to increase engagement.",
The 'Noise Cancelling' Habit,1,Sensory Regulation/Environment,Making it a routine to utilize noise-canceling technology in environments that are typically overwhelming.,"Get into the habit of putting on noise-canceling headphones (even without music) when entering a busy office, public transport, or a noisy cafe.",
Emotional Contagion Shielding,Variable,Emotional Regulation/Boundaries,Consciously protecting yourself from absorbing others' strong negative emotions.,"If someone is highly stressed or angry, create mental boundaries. Remind yourself their emotions are theirs, not yours, and limit exposure if possible.",
The 'Default Outfit',1,Decision Fatigue/Sensory Comfort,"Having a small selection of highly comfortable, sensory-friendly outfits that require no thought for daily wear.","Curate 2-3 comfortable outfits that always feel good and fit well, and rotate them throughout the week to eliminate clothing decision fatigue.",
Special Interest as Safe Space,Variable,Emotional Regulation/Recharge,Using your special interest as a reliable mental and emotional refuge during times of stress or overwhelm.,"When feeling burnt out or dysregulated, retreat into your special interest – watch documentaries, read articles, organize your collection, without external pressure.",
Task 'Micro-Looping',Variable,Focus/Task Completion,"Breaking a repetitive task into tiny, self-contained loops with built-in mini-rewards to maintain focus.","For laundry, the loop is: ""Pick up one item, fold it, place it in pile, then take a deep breath."" Repeat.",
The 'Brain to Text' Dump,45779,Cognitive Management/Memory,"Rapidly typing or voice-to-texting overwhelming thoughts, ideas, or to-dos into a digital document.","Use a notes app, a blank document, or a voice recorder to quickly capture everything in your head, then save it for later review.",
The 'Sensory Scan' Before Entry,1,Proactive Sensory Regulation,Quickly assessing the sensory environment of a new place before fully entering to anticipate potential overwhelm.,"Before walking into a noisy restaurant or bright store, pause at the entrance to gauge the light, sound, and smell levels.",
Flexible Planning (with Backup Plans),45935,Executive Function/Adaptability,Creating plans with built-in flexibility and having clear backup options for when things don't go as expected.,"Plan your day, but also have ""Plan B"" options for key tasks if your energy or focus shifts unexpectedly. ""If I can't do X, I will do Y instead.""",
The 'Rejection Sensitivity' Shield,45779,Emotional Regulation/Self-Compassion,Developing internal scripts or strategies to manage intense emotional reactions to perceived criticism or rejection.,"When you feel the sting of perceived rejection, remind yourself: ""This is my rejection sensitivity acting up. What is the objective reality? Is this really a personal attack, or something else?""",
"The ""Stim Toy Rotation""",Variable,Sensory Regulation/Engagement,Having a variety of fidget or stim toys and rotating them regularly to maintain novelty and effectiveness.,Keep a few different types of stim toys. Rotate which ones you use daily or weekly to keep them interesting and to match different sensory needs.,
Task 'Brain Dumping' (Pre-Sleep),45935,Cognitive Management/Sleep Aid,"Writing down all outstanding thoughts, worries, or to-dos before bed to clear the mind and aid sleep.","Before trying to sleep, take 5-10 minutes to write down everything on your mind, clearing your mental slate for rest.",
The 'Mini-Victory' Celebration,1,Motivation/Self-Compassion,Acknowledging and celebrating even the smallest completed tasks to build momentum and positive reinforcement.,"After finishing a dreaded chore or a tiny step of a big project, take a moment to internally or externally acknowledge your achievement (""Yay, I did it!"").",
Sensory-Seeking Food Textures,Variable,Sensory Regulation/Calming,"Using specific food textures (e.g., crunchy, chewy, smooth) as a way to self-regulate and manage oral sensory needs.","Keep a stash of preferred textured foods like crunchy carrots, chewy dried fruit, or smooth purees for sensory input.",
"The 'One In, One Out' Declutter",1,Organization/Executive Function,"A simple rule for preventing clutter accumulation: when a new item comes in, one old, similar item must go out.","When you buy a new shirt, donate or discard an old one. When you get a new book, give one away.",
Scheduled 'Rabbit Holes',Variable,Productivity/Leveraging Strengths,"Deliberately blocking out time for deep dives into special interests or highly engaging topics, as a reward or focus method.","Instead of fighting a ""rabbit hole"" urge, schedule a specific time for it. ""After I finish X, I can research Y for 30 minutes.""",
The 'Social Battery' Visual,1,Social Energy Management,Using a mental (or even physical) battery metaphor to track and communicate social energy levels.,"Mentally check your ""social battery"" throughout the day. If it's low, communicate to others, ""My battery is running low,"" to set boundaries.",
Movement for Focus,Variable,Focus/Physical Regulation,"Incorporating specific, often subtle, movements to aid concentration and manage restlessness.","While working, try bouncing your leg, gently rocking, or pacing during phone calls if it helps you focus without disrupting others.",
The 'Sensory Audit' of Spaces,10-20,Environmental Accommodation/Proactive,Systematically assessing different rooms or environments for their sensory impact and identifying areas for modification.,"Walk through your home or office: ""Is this light too harsh? Is that hum distracting? Where is my calmest spot?""",
Pre-Written Scripts (for difficult calls),45935,Communication/Anxiety Mgmt,"Having short, prepared notes or scripts for anticipated challenging phone calls or interactions.","Before making a customer service call or a difficult personal call, jot down key points, questions, and desired outcomes to stay on track.",
The 'Transition Playlist',Variable,Transitions/Emotional Regulation,Creating a specific music playlist to help signal and facilitate transitions between different activities or moods.,"Have a ""wake up"" playlist, a ""work focus"" playlist, a ""wind down"" playlist, or a ""pump-up"" playlist for specific transitions.",
Visual 'No-Go' Zones,Variable,Sensory Regulation/Boundaries,"Designating specific areas or situations as visually ""off-limits"" when sensory overload is a risk.","Avoid looking directly into bright lights. Use a screen filter. If a cluttered area triggers overwhelm, physically turn away or put up a visual barrier.",
Hyper-fixation as Research Tool,Variable,Learning/Productivity,"Leaning into periods of intense, obsessive focus on a topic as a powerful learning or problem-solving method.","When you feel a hyper-fixation starting on a relevant topic, allow yourself to dive deep, collecting information and making connections quickly.",
The 'Everything Drawer/Box',1,Organization/Executive Function,"Having one designated, often messy, drawer or box for miscellaneous items that don't have a clear home.","Instead of scattering small items, create one specific ""everything drawer"" where things go when you don't have the energy to put them away properly.",
Sensory-Specific Personal Care,Variable,Routine/Sensory Comfort,"Choosing personal care products based on their specific sensory qualities (scent, texture, temperature).","Use a body wash with a scent you love, a toothpaste with a non-overwhelming flavor, or a hairbrush with bristles that feel good on your scalp.",
The 'Future Self' Motivation,1,Motivation/Executive Function,"Framing tasks as acts of kindness or support for your future self, making them less daunting.","Future me will be so grateful if current me just loads the dishwasher now. ""I'm setting up future me for success by doing this task.""",
Pattern Recognition for Triggers,45935,Self-Understanding/Emotional Reg.,Actively looking for recurring patterns or preceding events that lead to specific emotional states or overwhelm.,"Keep a simple log: ""What happened just before I felt overwhelmed? What was I doing/experiencing before I got frustrated?""",
The 'Sensory Friendly' Meetup,Variable,Social Accommodation/Boundaries,Suggesting or organizing social gatherings in environments known to be less sensually overwhelming.,"Suggest meeting at a quiet cafe during off-peak hours, going for a walk, or having a virtual chat instead of a loud restaurant or bar.",
Micro-Movement Breaks (Subtle),Variable,Focus/Physical Regulation,"Incorporating very small, discreet movements into static situations to help maintain focus or release restlessness.","Wiggle your toes inside your shoes, gently rock in your chair, or tap your fingers subtly under the desk during meetings or lectures.",
The 'Just 5 Minutes' Jumpstart,5,Task Initiation/Overwhelm Reduction,"Committing to only 5 minutes of a dreaded task, with the full permission to stop when the time is up.","Set a timer for 5 minutes and tell yourself, ""I only have to do this for 5 minutes."" Often, once started, you'll continue beyond 5 minutes.",
"The ""Sensory Check-Out"" Routine",10-30,Decompression/Sensory Regulation,A deliberate sequence of actions to systematically reduce sensory input after a stimulating environment.,"After a busy day, dim lights, put on noise-canceling headphones, change into comfort clothes, and engage in a calming sensory activity.",
Interest-Based Scheduling,Variable,Productivity/Motivation,"Structuring your day or week around periods of high interest or motivation, rather than strict time blocks.","Identify when you feel naturally drawn to certain tasks (e.g., coding late at night, creative work in the morning) and schedule them then.",
Visual Task Completion,1,Motivation/Executive Function,"Using physical or digital visual cues to mark off completed tasks, providing a satisfying sense of accomplishment.","Use a whiteboard, a large planner, or a digital checklist app where you can physically tick, cross out, or move tasks to a ""done"" column.",
The 'Safe Food' Stash,Variable,Executive Function/Sensory Comfort,"Keeping a reliable supply of a few specific foods that are always palatable and sensory-safe, especially for low-energy days.","Stock your pantry with a few go-to ""safe foods"" that you know you can always eat, even when overstimulated or executive function is low.",
The 'Sensory Friendly' Playlist,Variable,Focus/Sensory Regulation,"Curating a music playlist specifically designed to aid focus, calm, or energize without being distracting.","Create playlists with instrumental music, specific genres (e.g., lo-fi, classical), or natural sounds that help you concentrate or relax without demanding attention.",
Planned 'Info Dumps' (To Self),10-15,Cognitive Management/Overwhelm,"Scheduling dedicated time to freely write or speak all thoughts and information swirling in your mind, for release and organization.","Set a timer for 10-15 minutes and just dump all thoughts, ideas, and worries onto paper or into a voice recording, without judgment or pressure to act.",
The 'Body Doubling' App/Community,Variable,Productivity/Accountability,Utilizing online platforms or apps that connect you with others working in parallel for shared focus and accountability.,"Join a virtual ""body doubling"" session or use an app that provides a quiet, shared virtual workspace to help stay on task.",
The 'No' Script Practice,45689,Boundaries/Communication,"Rehearsing simple, clear ways to say ""no"" or set limits without over-explaining or feeling guilty.","Practice phrases like ""That doesn't work for me,"" ""I have a prior commitment,"" or ""I need to prioritize my energy right now"" in front of a mirror.",
Sensory Calming Scents,45778,Sensory Regulation/Emotional,Using specific essential oils or other scents known to promote calmness and reduce anxiety.,"Keep a rollerball with lavender oil, a calming room spray, or a scented candle nearby to use when feeling overwhelmed or needing to relax.",
Micro-Breaks for Special Interest,45689,Motivation/Focus,Integrating very short bursts of special interest engagement into work or study periods as quick motivators.,"After completing a small task, allow yourself 1-2 minutes to look at a favorite image related to your special interest, read a fun fact, or watch a short clip.",
The 'Brain to Whiteboard' Dump,45935,Organization/Executive Function,"Using a large whiteboard to visually map out thoughts, tasks, or project components, leveraging visual processing.","Dedicate a section of a whiteboard to ""ideas,"" ""to-do,"" ""currently working on,"" and move things around as you process them.",
The 'Sensory Bag' for Outings,45778,Proactive Regulation/Portability,Assembling a small bag with essential sensory regulation tools to take with you when leaving the house.,"Pack earplugs/headphones, a favorite fidget, a calming scent, and perhaps a small, comforting snack or drink for public outings.",
Scheduled 'Unmasking' Time,Variable,Energy Management/Well-being,Deliberately blocking out time in your day or week where you consciously allow yourself to drop any social masking.,"Schedule specific periods (e.g., an hour after work, Saturday mornings) where you can be fully yourself, without performing or conforming.",
The 'Future Me' Task List,45689,Executive Function/Motivation,"Creating lists or reminders specifically for your future self, as if you're helping a different person.","Write a note: ""Hey future me, remember to pack your lunch for tomorrow!"" or ""Future me will thank current me for tidying this up now.""",
Comfort Texture Items,Variable,Sensory Regulation/Calming,Keeping specific items with satisfying textures readily available for tactile self-soothing.,"Have a smooth stone, a velvet cloth, a squishy stress ball, or a plush toy that you can touch and manipulate for comfort.",
The 'One Thing Started' Rule,1,Task Initiation/Overwhelm Reduction,"When completely stuck, commit to just starting the absolute first step of a task, even if it's just opening a document.","Don't aim to complete the task; just aim to initiate it. Opening the document, turning on the computer, or getting the cleaning supplies out counts.",
Body Language 'Reads' (for self),45689,Self-Awareness/Emotional Reg.,Paying attention to your own physical sensations and body language as early warning signs of stress or overwhelm.,"Notice tension in your shoulders, fidgeting, or shallow breathing. Use these physical cues as a signal to engage a self-regulation hack.",
Visual Countdown Timers (Large),Variable,Time Management/Transitions,"Using large, clear visual timers (like kitchen timers or apps with big numbers) to manage time blindness and transitions.","Place a large timer in a visible spot. Set it for specific work blocks, breaks, or to signal when it's time to switch tasks or leave.",
Auditory Calming Environment,Variable,Sensory Regulation/Environment,Creating an auditory environment that promotes calm through chosen sounds or minimal sound.,"Use noise-canceling headphones, play white/brown/pink noise, or listen to soft, consistent ambient sounds (e.g., gentle rain, distant ocean waves).",
The 'Just for Today' Mindset,1,Overwhelm Reduction/Self-Compassion,"Focusing only on what needs to be done today, letting go of the burden of future tasks or past failures.","When feeling overwhelmed by a large workload or long-term goals, tell yourself, ""I only need to focus on what's actionable just for today.""",
"The ""Weighted Plushie/Stuffed Animal""",Variable,Sensory Regulation/Emotional,Using a weighted plush toy or stuffed animal for comforting deep pressure input and emotional support.,"Keep a weighted stuffed animal nearby to hold, place on your lap, or cuddle with when feeling anxious, overwhelmed, or needing comfort.",
Sensory-Safe Lighting,Variable,Environmental Accommodation,"Modifying lighting to reduce harshness or overstimulation, using warm tones or indirect light.","Use dimmers, warm-toned light bulbs (e.g., smart bulbs that change color), lamps instead of overhead lights, or string lights for softer illumination.",
